               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072698,            0.017507,                   0,             0.70828,             0.70749,             0.75247,              0.3015,            0.044468,           0.0095468,                   0,            0.070059,           0.0033268,           0.0033268
                   1,            0.047624,            0.012011,                   0,             0.87803,             0.86767,             0.89521,             0.52275,            0.033951,           0.0072968,                   0,            0.040054,           0.0066546,           0.0066546
                   2,             0.04228,            0.010115,                   0,             0.91047,             0.89086,             0.91068,             0.52323,            0.031853,           0.0064633,                   0,            0.010043,           0.0099769,           0.0099769
                   3,             0.03713,           0.0091992,                   0,             0.93439,             0.90463,              0.9173,             0.60149,            0.028287,           0.0063585,                   0,           0.0099753,           0.0099753,           0.0099753
                   4,            0.033285,           0.0085483,                   0,             0.93867,             0.91745,             0.92276,             0.61709,            0.026291,           0.0057022,                   0,           0.0099753,           0.0099753,           0.0099753
                   5,            0.030968,           0.0081492,                   0,              0.9415,             0.93408,             0.92851,             0.65633,            0.024281,           0.0053094,                   0,            0.009967,            0.009967,            0.009967
                   6,            0.029183,           0.0077671,                   0,             0.94619,             0.92989,             0.93254,             0.66852,            0.023001,           0.0052185,                   0,           0.0099588,           0.0099588,           0.0099588
                   7,            0.028088,            0.007599,                   0,             0.95026,             0.93927,             0.94427,              0.6842,            0.022481,           0.0050132,                   0,           0.0099505,           0.0099505,           0.0099505
                   8,             0.02746,            0.007466,                   0,             0.95477,             0.93885,             0.94241,              0.6784,            0.022256,           0.0049095,                   0,           0.0099422,           0.0099422,           0.0099422
                   9,            0.026995,            0.007315,                   0,             0.95257,             0.94529,             0.94676,             0.69319,            0.022241,           0.0049151,                   0,            0.009934,            0.009934,            0.009934
                  10,            0.026222,           0.0072437,                   0,             0.96014,             0.94308,             0.95021,             0.71336,            0.020752,           0.0047118,                   0,           0.0099258,           0.0099258,           0.0099258
                  11,            0.025698,           0.0071143,                   0,             0.95889,             0.94665,             0.95261,             0.71652,            0.020792,           0.0046623,                   0,           0.0099175,           0.0099175,           0.0099175
                  12,             0.02509,           0.0070423,                   0,             0.96184,               0.948,             0.95486,             0.71997,            0.019911,           0.0045947,                   0,           0.0099093,           0.0099093,           0.0099093
                  13,            0.025117,           0.0070159,                   0,             0.96265,             0.94623,             0.95422,             0.72247,            0.020275,           0.0046121,                   0,            0.009901,            0.009901,            0.009901
                  14,            0.024501,           0.0068469,                   0,             0.96814,             0.95111,             0.95856,             0.72582,             0.01948,           0.0044726,                   0,           0.0098928,           0.0098928,           0.0098928
                  15,            0.024014,           0.0067224,                   0,             0.96447,             0.94985,             0.96156,             0.72388,              0.0199,           0.0044812,                   0,           0.0098845,           0.0098845,           0.0098845
                  16,             0.02394,           0.0068015,                   0,             0.96879,             0.94859,             0.96271,             0.72226,            0.019883,           0.0045392,                   0,           0.0098763,           0.0098763,           0.0098763
                  17,            0.023814,           0.0066158,                   0,             0.97034,             0.94874,             0.96449,             0.74159,             0.01897,           0.0043775,                   0,            0.009868,            0.009868,            0.009868
                  18,            0.023711,           0.0066412,                   0,             0.97037,             0.95233,             0.96231,             0.72469,             0.01906,           0.0043992,                   0,           0.0098598,           0.0098598,           0.0098598
                  19,            0.023277,           0.0066013,                   0,             0.96653,             0.95357,              0.9652,             0.74305,            0.018665,           0.0043256,                   0,           0.0098515,           0.0098515,           0.0098515
                  20,            0.023505,           0.0065961,                   0,              0.9689,             0.95192,             0.96156,             0.73517,            0.018968,           0.0043688,                   0,           0.0098432,           0.0098432,           0.0098432
                  21,            0.023351,           0.0064522,                   0,             0.96417,             0.95478,             0.96214,             0.74602,            0.018345,           0.0043042,                   0,            0.009835,            0.009835,            0.009835
                  22,            0.022969,           0.0064288,                   0,              0.9727,             0.95276,             0.96813,             0.74758,            0.018305,           0.0041971,                   0,           0.0098268,           0.0098268,           0.0098268
                  23,            0.022701,           0.0064826,                   0,             0.96996,              0.9589,             0.97076,             0.75427,            0.017997,           0.0042016,                   0,           0.0098185,           0.0098185,           0.0098185
                  24,             0.02287,           0.0065605,                   0,             0.97058,              0.9594,              0.9723,             0.75344,            0.017785,           0.0041082,                   0,           0.0098103,           0.0098103,           0.0098103
                  25,            0.022605,           0.0063668,                   0,             0.97076,             0.96131,             0.97276,             0.75637,            0.017774,            0.004157,                   0,            0.009802,            0.009802,            0.009802
                  26,            0.022335,           0.0064376,                   0,             0.96865,             0.95614,             0.97061,              0.7634,            0.017619,           0.0041422,                   0,           0.0097938,           0.0097938,           0.0097938
                  27,            0.022264,           0.0063117,                   0,             0.97145,             0.96017,               0.976,             0.76522,            0.017492,           0.0040639,                   0,           0.0097855,           0.0097855,           0.0097855
                  28,            0.021987,           0.0062168,                   0,              0.9725,             0.96286,              0.9781,             0.76686,            0.017339,           0.0040131,                   0,           0.0097773,           0.0097773,           0.0097773
                  29,             0.02192,           0.0062491,                   0,             0.97098,             0.96475,             0.97392,             0.76937,            0.017204,           0.0039935,                   0,            0.009769,            0.009769,            0.009769
                  30,             0.02203,           0.0062615,                   0,             0.96784,              0.9671,             0.97664,             0.76826,            0.017193,           0.0040124,                   0,           0.0097608,           0.0097608,           0.0097608
                  31,            0.021943,           0.0062262,                   0,             0.97168,              0.9639,             0.97833,             0.77169,            0.016997,           0.0039808,                   0,           0.0097525,           0.0097525,           0.0097525
                  32,            0.021292,           0.0060173,                   0,              0.9728,             0.96492,              0.9776,             0.76937,            0.016806,           0.0039271,                   0,           0.0097442,           0.0097442,           0.0097442
                  33,            0.021553,           0.0061019,                   0,             0.97399,             0.96421,             0.97598,             0.76807,            0.017021,            0.003951,                   0,            0.009736,            0.009736,            0.009736
                  34,            0.021576,           0.0061793,                   0,             0.97247,             0.96192,             0.97491,              0.7747,            0.016635,           0.0039454,                   0,           0.0097278,           0.0097278,           0.0097278
                  35,             0.02182,           0.0061791,                   0,             0.96916,              0.9692,             0.97931,             0.78484,            0.016484,           0.0038753,                   0,           0.0097195,           0.0097195,           0.0097195
                  36,            0.021359,           0.0061171,                   0,             0.97274,             0.96796,             0.98106,             0.78248,            0.016455,           0.0038412,                   0,           0.0097113,           0.0097113,           0.0097113
